Amazonas,Anzoátegui,Apure,Aragua,Barinas,Bolívar,Carabobo,Cojedes,Delta Amacuro,Distrito Capital,Falcón,Guárico,La Guaira,Lara,Los Roques,Mérida,Miranda,Monagas,Nueva Esparta,Portuguesa,Sucre,Táchira,Trujillo,Yaracuy,Zulia,date
0,2,1,29,6,2,0,1,0,30,2,2,14,4,4,1,68,1,9,3,2,4,7,1,4,2020-04-16
0,2,1,29,6,2,0,1,0,31,2,2,14,5,4,1,72,1,10,3,2,4,7,1,4,2020-04-17
0,2,1,29,7,2,0,1,0,31,2,2,14,5,4,1,73,1,30,3,2,5,7,1,4,2020-04-18
0,2,1,29,7,2,0,1,0,31,2,2,14,5,4,1,73,1,30,3,2,5,7,1,4,2020-04-19
0,2,1,29,7,2,0,1,0,32,2,2,14,5,4,2,76,1,51,3,2,8,7,1,4,2020-04-20
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,82,1,72,4,2,8,7,1,4,2020-04-21
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,85,1,72,4,2,8,7,1,4,2020-04-22
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,85,1,80,4,2,10,7,1,4,2020-04-23
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,85,1,93,4,2,10,7,1,4,2020-04-24
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,85,1,97,4,2,13,7,1,4,2020-04-25
0,2,1,29,7,2,0,1,0,32,2,2,14,5,5,2,85,1,97,4,2,18,7,1,4,2020-04-26
0,2,1,30,7,2,0,1,0,32,2,2,14,5,5,2,86,1,97,4,2,18,7,1,4,2020-04-27
0,3,1,30,7,3,0,1,0,32,2,2,14,5,5,2,86,1,99,4,2,18,7,1,4,2020-04-28
0,3,1,30,7,3,0,1,0,32,2,2,14,5,5,2,86,1,99,4,2,18,7,1,4,2020-04-29
0,3,1,30,7,3,0,1,0,33,2,2,14,5,5,2,86,1,99,4,2,19,7,1,4,2020-04-30
0,3,2,31,7,3,0,1,0,33,2,2,14,5,5,2,86,1,99,4,2,19,7,1,4,2020-05-01
